titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
Tenchi Muyou! Ryououki Dai 2-ki;Tenchi Muyou! Ryououki Dai 2-ki;25/9/1994;25/9/1995;OVA;['Action', 'Comedy', 'Sci-Fi'];4023;71;images\540.png
Tenchi Muyou! Ryououki Dai 3-ki;Tenchi Muyou! Ryououki Dai 3-ki;18/9/2003;16/3/2005;OVA;['Action', 'Comedy', 'Sci-Fi'];3090;67;images\541.png
Vampire Hunter D: Bloodlust;Vampire Hunter D (2000);25/8/2000;25/8/2000;MOVIE;['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi'];28311;77;images\543.png
Venus Wars;Venus Senki;11/3/1989;11/3/1989;MOVIE;['Action', 'Adventure', 'Sci-Fi'];4013;65;images\544.png
;Wind: a breath of heart (2004);30/6/2004;15/9/2004;TV_SHORT;['Drama', 'Romance', 'Supernatural'];1834;51;images\546.png
;Wind: a breath of heart OVA;25/6/2004;22/12/2004;OVA;['Drama', 'Romance', 'Supernatural'];630;53;images\547.png
Sky Blue;Wonderful Days;17/7/2003;17/7/2003;MOVIE;['Action', 'Drama', 'Romance', 'Sci-Fi'];4675;63;images\548.png
;Yu☆Gi☆Oh!;4/4/1998;10/10/1998;TV;['Action', 'Comedy', 'Fantasy'];38576;69;images\550.png
Grappler Baki Maximum Tournament;Grappler Baki: Saidai Tournament-hen;24/7/2001;25/12/2001;TV;['Action', 'Sports'];14338;72;images\551.png
Digimon: Digital Monsters;Digimon Adventure;7/3/1999;26/3/2000;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi'];52656;75;images\552.png
Descendants of Darkness;Yami no Matsuei;2/10/2000;18/12/2000;TV;['Comedy', 'Drama', 'Fantasy', 'Horror'];5834;63;images\553.png
Steel Angel Kurumi 2;Koutetsu Tenshi Kurumi 2-shiki;12/4/2001;28/6/2001;TV_SHORT;['Comedy', 'Mecha', 'Romance', 'Sci-Fi'];1669;56;images\555.png
Steel Angel Kurumi Encore;Koutetsu Tenshi Kurumi: DVD Single Episodes;19/7/2000;4/10/2000;OVA;['Comedy', 'Romance', 'Sci-Fi'];1079;60;images\557.png
;Major S2;10/12/2005;10/6/2006;TV;['Comedy', 'Drama', 'Sports'];10942;79;images\558.png
RahXephon Interlude: Her and Herself/Thatness and Thereness;RahXephon Kansoukyoku: Kanojo to Kanojo Jishin to - Thatness And Thereness;8/7/2003;8/7/2003;OVA;['Drama', 'Psychological', 'Sci-Fi'];1406;57;images\559.png
;Soukyuu no Fafner: RIGHT OF LEFT - single program;30/12/2005;30/12/2005;SPECIAL;['Drama', 'Mecha', 'Sci-Fi'];3251;69;images\560.png
Sakura Wars;Sakura Taisen;8/4/2000;23/9/2000;TV;['Adventure', 'Mecha', 'Sci-Fi'];5590;64;images\561.png
Sakura Wars: The New Paris;Sakura Taisen: Le Nouveau Paris;20/10/2004;16/3/2005;OVA;['Adventure', 'Mecha', 'Sci-Fi'];756;53;images\562.png
DNA²;DNA² ~Dokoka de Nakushita Aitsu no Aitsu~;7/10/1994;23/12/1994;TV;['Comedy', 'Romance', 'Sci-Fi'];7226;61;images\563.png
Puni Puni Poemy;Puni Puni☆Poemii;7/3/2001;19/12/2001;OVA;['Comedy', 'Mahou Shoujo', 'Sci-Fi'];5310;60;images\564.png
Steamboy;Steamboy;17/7/2004;17/7/2004;MOVIE;['Action', 'Adventure', 'Drama', 'Sci-Fi'];14456;69;images\565.png
The Big O;THE Big O;13/10/1999;19/1/2000;TV;['Action', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi'];18415;73;images\567.png
;Bubblegum Crisis TOKYO 2040;8/10/1998;1/4/1999;TV;['Action', 'Adventure', 'Mecha', 'Sci-Fi'];5948;66;images\568.png
